"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Electronics","Kodak PIXPRO AZ528 Astro Zoom 16MP Digital Camera, Black","Barry ter Haar","I liked the camera overall. Great first camera for a 12 year old. Very helpful in my photography lessons.","Verified Purchase","Reviewed in Australia on 4 February 2024","4.3 out of 5 stars"
"2","Electronics","Kodak PIXPRO AZ528 Astro Zoom 16MP Digital Camera, Black","YY1015","Bought this model for easy bird watching, but its Auto Focus never worked well.Not just never focusing on the moving targets (birds), even inactive ones, such as flowers, were unfocused when it zooms bigger than X10.You can find cheaper and more compact models with same zoom range.Finally, I got rid of this camera after only 2 months!","Verified Purchase","Reviewed in Australia on 11 December 2023","5.0 out of 5 stars"
"3","Electronics","Kodak PIXPRO AZ528 Astro Zoom 16MP Digital Camera, Black","satisfied customer","I take pictures and videos of apartments to rent.  Phone pictures look fine but much better and easier with the PROPIX.  Formatting and transferring data easy.  Nifty, lightweight camera and easy to use.","Verified Purchase","Reviewed in the United States on 16 March 2024","1.0 out of 5 stars"
"4","Electronics","Kodak PIXPRO AZ528 Astro Zoom 16MP Digital Camera, Black","Christopher Chen","Received the camera in good condition and after reading the instruction is off to try it out. I am a total newbie to photography. So I took my first wildlife bird photo (apart from using my phone) and its turn out great. So definitely a good camera for beginner especially bird photography and within a good budget.","Verified Purchase","Reviewed in Singapore on 1 November 2023","5.0 out of 5 stars"
"5","Electronics","Kodak PIXPRO AZ528 Astro Zoom 16MP Digital Camera, Black","Christopher Chen","Pas assez utilisé pour donner un avis par contre petit bémol sur la prise pour recharger pas facile pour inséré la fiche!!!","Verified Purchase","Reviewed in France on 16 December 2023","5.0 out of 5 stars"
"6","Electronics","Kodak PIXPRO AZ528 Astro Zoom 16MP Digital Camera, Black","Thenault S.","Vorweg: Die Kamera war ein Geschenk für unsere Tochter, die endlich mehr will, als das Handy als Fotoapparat zu missbrauchen.Es gibt in dieser Preisklasse keine guten Alternativen, und wenn, dann sind es oft Mogelpackungen. Ein Beispiel: Diese Kamera hat ein echtes optisches Zoom, bei der Konkurrenz wird da oft nur ganz klein erwähnt, dass sie nur ein digitales (wertloses) Zoom haben. Angeregt von den anderen Bewertungen kauften wir bei Amazon auch ein perfektes Stativ dazu (https://www.amazon.de/gp/product/B0CL9NFG94/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1), und seitdem gelingen Fotos beispielsweise nachts vom Mond so, wie man es auf vielen Youtubes zu dieser Kamera bestaunen kann. Die Tiefenschärfe ist beachtlich, lediglich beim Autofocus muss man bei einer derart hohen Zoomeinstellung ein bisschen warten. Wir haben vor dem Kauf viele Stunden lang recherchiert, verglichen und zahlreiche Videos und Bilder, Ergebnisse dieses Kameratyps gesucht. Ich kann nun sagen, dass überwiegend auch bei uns diese unglaublich qualitativen, tollen und scharfen Bilder rauskommen, ohne viel tricksen zu müssen. Einfach so, gucken, klicken, betrachten.W-Lan Funktion:Das ist eine tolle Möglichkeit, über den Umweg eines Smartphones Videos sofort ins Internet zu stellen. Das war unserer 12-jährigen Tochter mit ihrem eigenen Youtube-Kanal besonders wichtig und diese Möglichkeit gibt es um diesen Preis sonst nirgendwo. Die Funktion samt stabiler Verbindung zwischen Kamera und Handy ist für mein Alter (63) doch etwas tricky zu installieren gewesen, doch dann habe ich es doch noch geschafft, eine dauerhaft stabile Smartphone-Verbindung herstellen können. Laura meint, sie funktioniert seither immer tadellos.Wir haben auch noch nachträglich das Set mit 2 Akkus und einem Ladegerät gekauft (siehe auch Amazon, z.B. https://www.amazon.de/s?k=kodak+528+akku), denn der eine beigelegte Akku ist doch etwas wenig, beispielsweise auswärts im Urlaub wird es da bald knapp. Diese zusätzlichen Lade-Sets sind unglaublich günstig (2 Akkus, 1 Ladegerät je nach Kapazität etwa 20-33 Euro) und effektiv. Wir wollen nämlich nicht jedes Mal das Ladekabel an die Kamera anstecken und die Angst, dadurch irgendwann versehentlich die Ladebuchse an der Kamera zu zerstören, war es uns Wert, hier noch günstig nachzukaufen. Die Akkus gehen sehr einfach rein, die Klappe geht auf Klick auf und ist für ein ganzes Kamera-Leben lang sehr solide und haltbar konstruiert. Das ist viel einfacher, wie den Deckel zur versteckten Ladebuchse aufbiegen zu müssen, wo auch das Kabel wegen der Kameraumgebung nur wenig Platz findet.Unsere Tochter hat sich dann gleich noch die passendste und schönste Tasche ausgesucht, frei nach dem Motto ""das zahlt ja eh der Papa"" - siehe Amazon https://www.amazon.de/gp/product/B0BPLDGRPM/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1, die ist unglaublich schön und neben der Kamera finden darin eine weitere Speicherkarte und die Ladegerät-/Akkukombination Platz darin. Achja, es funktionieren entgegen der Angaben von Kodak auch Speicherkarten, die grösser als 32Gb sind, ohne da irgendetwas eigens und auf einem PC neu formatieren zu müssen. Wir haben auf Amazon diese Karte bestellt, eingelegt, und die Kamera hat sie sofort erkannt:https://www.amazon.de/gp/product/B09X7C7NCZ/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1Aussehen (bei uns das schwarze Modell):Professionell, insgesamt wurden hochwertige Materialien verarbeitet, die nicht billig, sondern edel aussehen. Die dauerhafte Haltbarkeit sieht man förmlich.","Verified Purchase","Reviewed in Germany on 25 January 2024","5.0 out of 5 stars"
"7","Electronics","Kodak PIXPRO AZ528 Astro Zoom 16MP Digital Camera, Black","Hen R.","Me encantó la cámara! La verdad está genial para lo que la necesito, no es una cámara réflex profesional pero sirve de maravilla! El zoom es bueno , las fotos son de excelente calidad","Verified Purchase","Reviewed in Mexico on 14 April 2023","5.0 out of 5 stars"
"8","Electronics","Kodak PIXPRO AZ528 Astro Zoom 16MP Digital Camera, Black","rebeca","No se mucho de cámaras la tuve q comprara para mis clases de fotografía y estoy aprendiendo tiene una muy buena q puede llegar hasta la luna me encanto","Verified Purchase","Reviewed in Mexico on 27 March 2024","5.0 out of 5 stars"
"9","Electronics","Kodak PIXPRO AZ528 Astro Zoom 16MP Digital Camera, Black","Víctor Abadeer","haven't had a chance to use it","Verified Purchase","Reviewed in the United States on 12 March 2024","5.0 out of 5 stars"
"10","Electronics","Kodak PIXPRO AZ528 Astro Zoom 16MP Digital Camera, Black","Víctor Abadeer","it works great so far only issue im having is getting the wifi to connect but it does do great photos on the auto setting taking photos inside does same to take photos to dark but most of my photos are outside photos but then again im still learning this camera","Verified Purchase","Reviewed in the United States on 20 May 2023","5.0 out of 5 stars"
