"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Clothing","Trendy Queen Womens","user-MPYC5S","I like it though material is not the best","Verified Purchase","Reviewed in Australia on 29 November 2023","4.3 out of 5 stars"
"2","Clothing","Trendy Queen Womens","Katie Mullins","The product looks nothing like the picture. The colour of the jumper is more yellow and the quality is not there. It looks really cheaply made. This material also attracts lint and animal fur like crazy. I wouldn’t recommend purchasing. Much better options out there.","Verified Purchase","Reviewed in Australia on 4 October 2023","5.0 out of 5 stars"
"3","Clothing","Trendy Queen Womens","Kelly","Terrible material runs small","Verified Purchase","Reviewed in Australia on 21 March 2024","2.0 out of 5 stars"
"4","Clothing","Trendy Queen Womens","Nicole Brown","Perfect size, shame the quality is so bad I washed it once and it just balled up","Verified Purchase","Reviewed in Australia on 3 August 2023","1.0 out of 5 stars"
"5","Clothing","Trendy Queen Womens","Jenn H.","Cuter than a regular sweatshirt with the half zip. Super comfort and a generous fit,","Verified Purchase","Reviewed in Canada on 23 March 2024","1.0 out of 5 stars"
"6","Clothing","Trendy Queen Womens","Jazmin Vera","Está padre solo en la primer puesta, es una prenda de una tela que genera muchísima pelusa, incluso después de lavarla varias veces. No la volvería a comprar.","Verified Purchase","Reviewed in Mexico on 14 February 2024","5.0 out of 5 stars"
"7","Clothing","Trendy Queen Womens","Lindsey R.","Ignore the wrinkles, this was vacuum sealed and needs to be washed but I couldn’t wait to try it on!This is exactly what I was looking for - it’s very soft, medium weight and warm. I love the length as I was looking for something cozy but not super oversized and not cropped.I’m 5’6” 140 pounds and I ordered the small in the light gray.","Verified Purchase","Reviewed in the United States on 20 March 2024","2.0 out of 5 stars"
"8","Clothing","Trendy Queen Womens","Lindsey R.","This is the second one I bought , just love the fit and washes so good.","Verified Purchase","Reviewed in Canada on 4 February 2024","5.0 out of 5 stars"
"9","Clothing","Trendy Queen Womens","Kanata Girl","I wear it a lot but it’s fairly thin and the zipper looks and feels pretty cheap. It’s not oversized like the model so size up if you want that look!","Verified Purchase","Reviewed in Canada on 23 September 2023","5.0 out of 5 stars"
"10","Clothing","Trendy Queen Womens","Cloe Thomson","I got this sweatshirt because I wanted a solid oversized one to add to my closet. It is very thick, soft, and warm. This is not one to wear during the summer. I gave it a 4-star because the band at the bottom is not flattering. The sweatshirt is oversized but the band is smaller so it clinches. Another reason I gave it a 4 star is because unless the zipper is all the way unzipped the collar does not lay down. I have short hair so the collar not laying down is uncomfortable so I have had to wear it unzipped. Overall this sweatshirt is good and comfortable. I just want to be honest with the issues I have had so others can decide for them! I wear it still, just won't be buying another one!","Verified Purchase","Reviewed in the United States on 20 January 2024","5.0 out of 5 stars"
"11","Clothing","Trendy Queen Womens","Amazon Customer","As soon as I opened the package I knew I would be returning it- it is very bad quality. The fabric is thin, and there is puffiness around the seams so it doesn’t look like it’s been stitched wellThe fit is also completely off- the arms are puffy, the band at the bottom is tight, but it’s also long, more like a tunic style. It’s just not good at all","Verified Purchase","Reviewed in Canada on 5 May 2023","4.3 out of 5 stars"
"12","Clothing","Trendy Queen Womens","Danica","Gifted this to my manager for Christmas, she loves it and lives in it!!!! I almost did not give it to her because I did not like the collar the sewing was weird, but she loved it !!!!!!!!","Verified Purchase","Reviewed in Canada on 23 January 2024","1.0 out of 5 stars"
"13","Clothing","Trendy Queen Womens","Dani","I went up a size after reading the reviews, and it was way too big. The material is thin and flimsy. I sent it back. Was so disappointed because of all the great reviews!","Verified Purchase","Reviewed in Canada on 2 October 2023","5.0 out of 5 stars"
"14","Clothing","Trendy Queen Womens","Dani","WoW! So comfortable, so soft! Very oversized lol I order XL wanting to be sure it’s be oversized enough but I’m sure the L would’ve been fine for me! For reference I’m 5’4 and usually wear size US10-12","Verified Purchase","Reviewed in Canada on 23 October 2023","3.0 out of 5 stars"
"15","Clothing","Trendy Queen Womens","Camille","I was skeptical when I ordered this but I really love it.I ordered my regular size (large) and it is very roomy and comfy! I’ve received lots of compliments on it. Happy with my purchase!","Verified Purchase","Reviewed in Canada on 8 March 2023","3.0 out of 5 stars"
"16","Clothing","Trendy Queen Womens","Rmac","I always worry when I buy a sweater it will be too tight. I decided to go with extra large and it’s pretty big. I wish I went with a large. I did decide to keep it however because it’s extremely comfortable just looks baggy and was not the look I was going for. I am 5 foot 2 and about 160-165 for a size reference. Hope this helps another buyer pick the size they are looking for :)","Verified Purchase","Reviewed in the United States on 19 February 2024","5.0 out of 5 stars"
"17","Clothing","Trendy Queen Womens","joyce","VERY oversized, purchased XL per recommendation, & exchanged for Large, then bought 2 more in different colors. Sooo soft & comfy, perfect “sweatshirt” weight. Colors are true washes great & dryer safe. Zip neckline is nice.","Verified Purchase","Reviewed in the United States on 20 March 2024","5.0 out of 5 stars"
"18","Clothing","Trendy Queen Womens","Cath M","This is amazing. Material and workmanship is great, in fact it's the best I've ever gotten from China. I will definitely order more colors.","Verified Purchase","Reviewed in the United States on 27 March 2024","4.0 out of 5 stars"
"19","Clothing","Trendy Queen Womens","Ms Kay","I'm 8 weeks postpartum and I don't fit it my clothes before baby. I was a small before baby, but my current Small sweatshirts are too small. I assumed I'd need a medium, but the medium was way too big, especially the arms. The wrists aren't tight enough to push up and the sleeves are way too long.The fabric is very comfy. If it was a cheap sweatshirt, is keep it with the awkward fit, but not for this price.","Verified Purchase","Reviewed in the United States on 6 February 2024","5.0 out of 5 stars"
"20","Clothing","Trendy Queen Womens","lm47588","Love it, just wish it had pockets!","Verified Purchase","Reviewed in the United States on 23 March 2024","5.0 out of 5 stars"
"21","Clothing","Trendy Queen Womens","Summer D.","Super comfy and thick but there’s weird material at the zipper area that sticks out","Verified Purchase","Reviewed in the United States on 15 March 2024","4.3 out of 5 stars"
"22","Clothing","Trendy Queen Womens","mirror review","Super cute got a size bigger since I like my clothes with a more loose fitting.","Verified Purchase","Reviewed in the United States on 26 March 2024","4.0 out of 5 stars"
"23","Clothing","Trendy Queen Womens","Nicki","It’s not polyester like most of the things I order","Verified Purchase","Reviewed in the United States on 23 March 2024","5.0 out of 5 stars"
"24","Clothing","Trendy Queen Womens","courtney","fits nicely and perfectly over sized, thick and good quality","Verified Purchase","Reviewed in the United States on 22 March 2024","5.0 out of 5 stars"
